"moviename","year","duration","genre","ratings"
"1.AQuietPlacePartII(2020)","(2020)","97min","Drama,Horror,Sci-Fi","7.7"
"2.Deliverance(1972)","(1972)","109min","Adventure,Drama,Thriller","7.7"
"3.GoneGirl(2014)","(2014)","149min","Drama,Mystery,Thriller","8.1"
"4.TheFather(I)(2020)","(I)(2020)","97min","Drama","8.3"
"5.ZackSnyder'sJusticeLeague(2021)","(2021)","242min","Action,Adventure,Fantasy","8.1"
"6.TheShawshankRedemption(1994)","(1994)","142min","Drama","9.3"
"7.Avengers:Endgame(2019)","(2019)","181min","Action,Adventure,Drama","8.4"
"8.TheMitchellsvstheMachines(2021)","(2021)","113min","Animation,Adventure,Comedy","7.7"
"9.StandbyMe(1986)","(1986)","89min","Adventure,Drama","8.1"
"10.HarryPotterandtheSorcerer'sStone(2001)","(2001)","152min","Adventure,Family,Fantasy","7.6"
"11.OnceUponaTime...inHollywood(2019)","(2019)","161min","Comedy,Drama","7.6"
"12.RaidersoftheLostArk(1981)","(1981)","115min","Action,Adventure","8.4"
"13.TheBigLebowski(1998)","(1998)","117min","Comedy,Crime,Sport","8.1"
"14.TheGodfather(1972)","(1972)","175min","Crime,Drama","9.2"
"15.Hamilton(2020)","(2020)","160min","Biography,Drama,History","8.4"
"16.Titanic(1997)","(1997)","194min","Drama,Romance","7.8"
"17.TheWolfofWallStreet(2013)","(2013)","180min","Biography,Crime,Drama","8.2"
"18.Joker(2019)","(2019)","122min","Crime,Drama,Thriller","8.4"
"19.Interstellar(2014)","(2014)","169min","Adventure,Drama,Sci-Fi","8.6"
"20.Gisaengchung(2019)","(2019)","132min","Comedy,Drama,Thriller","8.6"
"21.Thor:Ragnarok(2017)","(2017)","130min","Action,Adventure,Comedy","7.9"
"22.KnivesOut(2019)","(2019)","130min","Comedy,Crime,Drama","7.9"
"23.JurassicPark(1993)","(1993)","127min","Action,Adventure,Sci-Fi","8.1"
"24.TheDarkKnight(2008)","(2008)","152min","Action,Crime,Drama","9.0"
"25.PulpFiction(1994)","(1994)","154min","Crime,Drama","8.9"
"26.Soul(2020)","(2020)","100min","Animation,Adventure,Comedy","8.1"
"27.Druk(2020)","(2020)","117min","Comedy,Drama","7.8"
"28.TheGentlemen(2019)","(2019)","113min","Action,Comedy,Crime","7.8"
"29.SavingPrivateRyan(1998)","(1998)","169min","Drama,War","8.6"
"30.TheLordoftheRings:TheFellowshipoftheRing(2001)","(2001)","178min","Action,Adventure,Drama","8.8"
"31.DazedandConfused(1993)","(1993)","102min","Comedy","7.6"
"32.Inception(2010)","(2010)","148min","Action,Adventure,Sci-Fi","8.8"
"33.FightClub(1999)","(1999)","139min","Drama","8.8"
"34.Avengers:InfinityWar(2018)","(2018)","149min","Action,Adventure,Sci-Fi","8.4"
"35.GuardiansoftheGalaxy(2014)","(2014)","121min","Action,Adventure,Comedy","8.0"
"36.Gladiator(2000)","(2000)","155min","Action,Adventure,Drama","8.5"
"37.BacktotheFuture(1985)","(1985)","116min","Adventure,Comedy,Sci-Fi","8.5"
"38.BladeRunner2049(2017)","(2017)","164min","Action,Drama,Mystery","8.0"
"39.NoCountryforOldMen(2007)","(2007)","122min","Crime,Drama,Thriller","8.1"
"40.Braveheart(1995)","(1995)","178min","Biography,Drama,History","8.3"
"41.TheDeparted(2006)","(2006)","151min","Crime,Drama,Thriller","8.5"
"42.TaxiDriver(1976)","(1976)","114min","Crime,Drama","8.3"
"43.TheSilenceoftheLambs(1991)","(1991)","118min","Crime,Drama,Thriller","8.6"
"44.Flipped(I)(2010)","(I)(2010)","90min","Comedy,Drama,Romance","7.7"
"45.InglouriousBasterds(2009)","(2009)","153min","Adventure,Drama,War","8.3"
"46.ShutterIsland(2010)","(2010)","138min","Mystery,Thriller","8.2"
"47.Tombstone(1993)","(1993)","130min","Action,Biography,Drama","7.8"
"48.TheMatrix(1999)","(1999)","136min","Action,Sci-Fi","8.7"
"49.Spider-Man:IntotheSpider-Verse(2018)","(2018)","117min","Animation,Action,Adventure","8.4"
"50.ForrestGump(1994)","(1994)","142min","Drama,Romance","8.8"